N,d,VFL TeamName,R,W,D,L,G,S,a,b,c,d,e,f,g,h,S,A,B,C,D,E,F,G,H,S,q,r,x,T,season
2,1,VFL Berlin,2,1,1,0,6,:,1,5,4,1,1,0,0,5,:,0,5,3,1,0,1,0,1,:,1,0,1,,Season 58803
3,-1,VFL Amsterdam,2,1,0,1,4,:,3,1,3,1,1,0,0,4,:,2,2,3,1,0,0,1,0,:,1,-1,0,,Season 58803
4,1,VFL Madrid,2,1,0,1,6,:,6,0,3,1,1,0,0,4,:,1,3,3,1,0,0,1,2,:,5,-3,0,,Season 58803
5,1,VFL Edinburgh,2,1,0,1,2,:,2,0,3,1,1,0,0,1,:,0,1,3,1,0,0,1,1,:,2,-1,0,,Season 58803
6,1,VFL Lisbon,2,1,0,1,3,:,4,-1,3,1,1,0,0,1,:,0,1,3,1,0,0,1,2,:,4,-2,0,,Season 58803
7,-1,VFL Oslo,2,1,0,1,5,:,7,-2,3,1,1,0,0,5,:,2,3,3,1,0,0,1,0,:,5,-5,0,,Season 58803
8,-1,VFL Bern,2,1,0,1,3,:,5,-2,3,1,1,0,0,2,:,1,1,3,1,0,0,1,1,:,4,-3,0,,Season 58803
9,1,VFL Copenhagen,2,0,2,0,4,:,4,0,2,1,0,1,0,3,:,3,0,1,1,0,1,0,1,:,1,0,1,,Season 58803
10,1,VFL Ankara,2,0,2,0,3,:,3,0,2,1,0,1,0,0,:,0,0,1,1,0,1,0,3,:,3,0,1,,Season 58803
11,1,VFL Paris,2,0,2,0,1,:,1,0,2,1,0,1,0,0,:,0,0,1,1,0,1,0,1,:,1,0,1,,Season 58803
11,1,VFL Vienna,2,0,2,0,1,:,1,0,2,1,0,1,0,1,:,1,0,1,1,0,1,0,0,:,0,0,1,,Season 58803
11,1,VFL Brussels,2,0,2,0,1,:,1,0,2,1,0,1,0,1,:,1,0,1,1,0,1,0,0,:,0,0,1,,Season 58803
14,1,VFL Athens,2,0,1,1,2,:,3,-1,1,1,0,0,1,1,:,2,-1,0,1,0,1,0,1,:,1,0,1,,Season 58803
15,1,VFL London,2,0,1,1,1,:,2,-1,1,1,0,1,0,1,:,1,0,1,1,0,0,1,0,:,1,-1,0,,Season 58803
16,1,VFL Rome,2,0,1,1,1,:,3,-2,1,1,0,1,0,1,:,1,0,1,1,0,0,1,0,:,2,-2,0,,Season 58803
1,-1,VFL Berlin,3,2,1,0,11,:,2,9,7,2,2,0,0,10,:,1,9,6,1,0,1,0,1,:,1,0,1,,Season 58803
2,-1,VFL Madrid,3,2,0,1,9,:,6,3,6,2,2,0,0,7,:,1,6,6,1,0,0,1,2,:,5,-3,0,,Season 58803
3,-1,VFL Lisbon,3,2,0,1,6,:,4,2,6,2,2,0,0,4,:,0,4,6,1,0,0,1,2,:,4,-2,0,,Season 58803
4,1,VFL Amsterdam,3,2,0,1,5,:,3,2,6,1,1,0,0,4,:,2,2,3,2,1,0,1,1,:,1,0,3,,Season 58803
5,1,VFL Stockholm,3,2,0,1,4,:,4,0,6,2,1,0,1,2,:,3,-1,3,1,1,0,0,2,:,1,1,3,,Season 58803
6,-1,VFL Oslo,3,2,0,1,7,:,8,-1,6,1,1,0,0,5,:,2,3,3,2,1,0,1,2,:,6,-4,3,,Season 58803
7,-1,VFL Paris,3,1,2,0,6,:,2,4,5,2,1,1,0,5,:,1,4,4,1,0,1,0,1,:,1,0,1,,Season 58803
8,-1,VFL Brussels,3,1,2,0,4,:,1,3,5,1,0,1,0,1,:,1,0,1,2,1,1,0,3,:,0,3,4,,Season 58803
9,-1,VFL London,3,1,1,1,4,:,3,1,4,2,1,1,0,4,:,2,2,4,1,0,0,1,0,:,1,-1,0,,Season 58803
10,1,VFL Edinburgh,3,1,0,2,3,:,4,-1,3,2,1,0,1,2,:,2,0,3,1,0,0,1,1,:,2,-1,0,,Season 58803
11,1,VFL Bern,3,1,0,2,3,:,8,-5,3,1,1,0,0,2,:,1,1,3,2,0,0,2,1,:,7,-6,0,,Season 58803
12,1,VFL Copenhagen,3,0,2,1,4,:,5,-1,2,2,0,1,1,3,:,4,-1,1,1,0,1,0,1,:,1,0,1,,Season 58803
13,1,VFL Ankara,3,0,2,1,4,:,6,-2,2,1,0,1,0,0,:,0,0,1,2,0,1,1,4,:,6,-2,1,,Season 58803
14,1,VFL Vienna,3,0,2,1,1,:,4,-3,2,1,0,1,0,1,:,1,0,1,2,0,1,1,0,:,3,-3,1,,Season 58803
15,1,VFL Athens,3,0,1,2,3,:,8,-5,1,1,0,0,1,1,:,2,-1,0,2,0,1,1,2,:,6,-4,1,,Season 58803
16,0,VFL Rome,3,0,1,2,2,:,8,-6,1,1,0,1,0,1,:,1,0,1,2,0,0,2,1,:,7,-6,0,,Season 58803
1,-1,VFL Lisbon,4,3,0,1,10,:,6,4,9,2,2,0,0,4,:,0,4,6,2,1,0,1,6,:,6,0,3,,Season 58803
2,-1,VFL Stockholm,4,3,0,1,7,:,4,3,9,2,1,0,1,2,:,3,-1,3,2,2,0,0,5,:,1,4,6,,Season 58803
3,1,VFL Berlin,4,2,2,0,13,:,4,9,8,2,2,0,0,10,:,1,9,6,2,0,2,0,3,:,3,0,2,,Season 58803
4,-1,VFL Paris,4,2,2,0,7,:,2,5,8,2,1,1,0,5,:,1,4,4,2,1,1,0,2,:,1,1,4,,Season 58803
5,-1,VFL London,4,2,1,1,5,:,3,2,7,2,1,1,0,4,:,2,2,4,2,1,0,1,1,:,1,0,3,,Season 58803
6,1,VFL Madrid,4,2,0,2,10,:,8,2,6,2,2,0,0,7,:,1,6,6,2,0,0,2,3,:,7,-4,0,,Season 58803
7,1,VFL Amsterdam,4,2,0,2,5,:,4,1,6,2,1,0,1,4,:,3,1,3,2,1,0,1,1,:,1,0,3,,Season 58803
8,1,VFL Oslo,4,2,0,2,9,:,12,-3,6,2,1,0,1,7,:,6,1,3,2,1,0,1,2,:,6,-4,3,,Season 58803
9,1,VFL Brussels,4,1,2,1,4,:,2,2,5,2,0,1,1,1,:,2,-1,1,2,1,1,0,3,:,0,3,4,,Season 58803
10,-1,VFL Vienna,4,1,2,1,3,:,5,-2,5,2,1,1,0,3,:,2,1,4,2,0,1,1,0,:,3,-3,1,,Season 58803
11,-1,VFL Rome,4,1,1,2,4,:,9,-5,4,2,1,1,0,3,:,2,1,4,2,0,0,2,1,:,7,-6,0,,Season 58803
12,1,VFL Bern,4,1,1,2,3,:,8,-5,4,2,1,1,0,2,:,1,1,4,2,0,0,2,1,:,7,-6,0,,Season 58803
13,1,VFL Copenhagen,4,0,3,1,4,:,5,-1,3,2,0,1,1,3,:,4,-1,1,2,0,2,0,1,:,1,0,2,,Season 58803
14,1,VFL Edinburgh,4,1,0,3,4,:,6,-2,3,2,1,0,1,2,:,2,0,3,2,0,0,2,2,:,4,-2,0,,Season 58803
15,0,VFL Athens,4,0,2,2,5,:,10,-5,2,2,0,1,1,3,:,4,-1,1,2,0,1,1,2,:,6,-4,1,,Season 58803
16,1,VFL Ankara,4,0,2,2,4,:,9,-5,2,2,0,1,1,0,:,3,-3,1,2,0,1,1,4,:,6,-2,1,,Season 58803
1,0,VFL Lisbon,5,4,0,1,12,:,7,5,12,3,3,0,0,6,:,1,5,9,2,1,0,1,6,:,6,0,3,,Season 58803
2,-1,VFL Berlin,5,3,2,0,16,:,6,10,11,3,3,0,0,13,:,3,10,9,2,0,2,0,3,:,3,0,2,,Season 58803
3,-1,VFL Paris,5,3,2,0,9,:,3,6,11,3,2,1,0,7,:,2,5,7,2,1,1,0,2,:,1,1,4,,Season 58803
4,-1,VFL Amsterdam,5,3,0,2,8,:,4,4,9,3,2,0,1,7,:,3,4,6,2,1,0,1,1,:,1,0,3,,Season 58803
5,1,VFL Stockholm,5,3,0,2,8,:,6,2,9,2,1,0,1,2,:,3,-1,3,3,2,0,1,6,:,3,3,6,,Season 58803
6,1,VFL London,5,2,2,1,6,:,4,2,8,3,1,2,0,5,:,3,2,5,2,1,0,1,1,:,1,0,3,,Season 58803
7,1,VFL Madrid,5,2,1,2,12,:,10,2,7,3,2,1,0,9,:,3,6,7,2,0,0,2,3,:,7,-4,0,,Season 58803
8,-1,VFL Copenhagen,5,1,3,1,7,:,7,0,6,3,1,1,1,6,:,6,0,4,2,0,2,0,1,:,1,0,2,,Season 58803
9,1,VFL Oslo,5,2,0,3,11,:,15,-4,6,2,1,0,1,7,:,6,1,3,3,1,0,2,4,:,9,-5,3,,Season 58803
10,1,VFL Brussels,5,1,2,2,6,:,5,1,5,2,0,1,1,1,:,2,-1,1,3,1,1,1,5,:,3,2,4,,Season 58803
11,1,VFL Vienna,5,1,2,2,4,:,7,-3,5,2,1,1,0,3,:,2,1,4,3,0,1,2,1,:,5,-4,1,,Season 58803
12,1,VFL Rome,5,1,2,2,5,:,10,-5,5,2,1,1,0,3,:,2,1,4,3,0,1,2,2,:,8,-6,1,,Season 58803
13,1,VFL Bern,5,1,2,2,4,:,9,-5,5,2,1,1,0,2,:,1,1,4,3,0,1,2,2,:,8,-6,1,,Season 58803
14,0,VFL Edinburgh,5,1,1,3,5,:,7,-2,4,3,1,1,1,3,:,3,0,4,2,0,0,2,2,:,4,-2,0,,Season 58803
15,0,VFL Athens,5,0,3,2,7,:,12,-5,3,2,0,1,1,3,:,4,-1,1,3,0,2,1,4,:,8,-4,2,,Season 58803
16,0,VFL Ankara,5,0,2,3,4,:,12,-8,2,2,0,1,1,0,:,3,-3,1,3,0,1,2,4,:,9,-5,1,,Season 58803
1,0,VFL Lisbon,6,5,0,1,13,:,7,6,15,3,3,0,0,6,:,1,5,9,3,2,0,1,7,:,6,1,6,,Season 58803
2,0,VFL Berlin,6,4,2,0,19,:,6,13,14,3,3,0,0,13,:,3,10,9,3,1,2,0,6,:,3,3,5,,Season 58803
3,-1,VFL Amsterdam,6,4,0,2,10,:,5,5,12,3,2,0,1,7,:,3,4,6,3,2,0,1,3,:,2,1,6,,Season 58803
4,1,VFL Paris,6,3,2,1,9,:,4,5,11,3,2,1,0,7,:,2,5,7,3,1,1,1,2,:,2,0,4,,Season 58803
5,-1,VFL Madrid,6,3,1,2,14,:,11,3,10,3,2,1,0,9,:,3,6,7,3,1,0,2,5,:,8,-3,3,,Season 58803
6,-1,VFL Copenhagen,6,2,3,1,9,:,8,1,9,3,1,1,1,6,:,6,0,4,3,1,2,0,3,:,2,1,5,,Season 58803
7,1,VFL Stockholm,6,3,0,3,8,:,9,-1,9,3,1,0,2,2,:,6,-4,3,3,2,0,1,6,:,3,3,6,,Season 58803
8,-1,VFL Oslo,6,3,0,3,13,:,15,-2,9,3,2,0,1,9,:,6,3,6,3,1,0,2,4,:,9,-5,3,,Season 58803
9,1,VFL London,6,2,2,2,6,:,6,0,8,3,1,2,0,5,:,3,2,5,3,1,0,2,1,:,3,-2,3,,Season 58803
10,0,VFL Brussels,6,1,2,3,7,:,7,0,5,3,0,1,2,2,:,4,-2,1,3,1,1,1,5,:,3,2,4,,Season 58803
11,-1,VFL Edinburgh,6,1,2,3,8,:,10,-2,5,3,1,1,1,3,:,3,0,4,3,0,1,2,5,:,7,-2,1,,Season 58803
12,1,VFL Vienna,6,1,2,3,5,:,9,-4,5,3,1,1,1,4,:,4,0,4,3,0,1,2,1,:,5,-4,1,,Season 58803
13,0,VFL Bern,6,1,2,3,5,:,11,-6,5,3,1,1,1,3,:,3,0,4,3,0,1,2,2,:,8,-6,1,,Season 58803
13,1,VFL Rome,6,1,2,3,5,:,11,-6,5,3,1,1,1,3,:,3,0,4,3,0,1,2,2,:,8,-6,1,,Season 58803
15,-1,VFL Ankara,6,1,2,3,5,:,12,-7,5,3,1,1,1,1,:,3,-2,4,3,0,1,2,4,:,9,-5,1,,Season 58803
16,1,VFL Athens,6,0,4,2,10,:,15,-5,4,3,0,2,1,6,:,7,-1,2,3,0,2,1,4,:,8,-4,2,,Season 58803
1,0,VFL Lisbon,7,6,0,1,16,:,7,9,18,4,4,0,0,9,:,1,8,12,3,2,0,1,7,:,6,1,6,,Season 58803
2,0,VFL Berlin,7,5,2,0,22,:,7,15,17,4,4,0,0,16,:,4,12,12,3,1,2,0,6,:,3,3,5,,Season 58803
3,-1,VFL Madrid,7,4,1,2,17,:,13,4,13,4,3,1,0,12,:,5,7,10,3,1,0,2,5,:,8,-3,3,,Season 58803
4,1,VFL Amsterdam,7,4,0,3,11,:,8,3,12,4,2,0,2,8,:,6,2,6,3,2,0,1,3,:,2,1,6,,Season 58803
5,-1,VFL Oslo,7,4,0,3,16,:,16,0,12,3,2,0,1,9,:,6,3,6,4,2,0,2,7,:,10,-3,6,,Season 58803
6,1,VFL Paris,7,3,2,2,10,:,7,3,11,3,2,1,0,7,:,2,5,7,4,1,1,2,3,:,5,-2,4,,Season 58803
7,-1,VFL London,7,3,2,2,9,:,6,3,11,4,2,2,0,8,:,3,5,8,3,1,0,2,1,:,3,-2,3,,Season 58803
8,1,VFL Copenhagen,7,2,4,1,9,:,8,1,10,4,1,2,1,6,:,6,0,5,3,1,2,0,3,:,2,1,5,,Season 58803
9,1,VFL Stockholm,7,3,0,4,10,:,12,-2,9,3,1,0,2,2,:,6,-4,3,4,2,0,2,8,:,6,2,6,,Season 58803
10,-1,VFL Edinburgh,7,2,2,3,10,:,11,-1,8,4,2,1,1,5,:,4,1,7,3,0,1,2,5,:,7,-2,1,,Season 58803
11,-1,VFL Ankara,7,2,2,3,6,:,12,-6,8,3,1,1,1,1,:,3,-2,4,4,1,1,2,5,:,9,-4,4,,Season 58803
12,-1,VFL Rome,7,1,3,3,5,:,11,-6,6,3,1,1,1,3,:,3,0,4,4,0,2,2,2,:,8,-6,2,,Season 58803
13,1,VFL Brussels,7,1,2,4,8,:,9,-1,5,3,0,1,2,2,:,4,-2,1,4,1,1,2,6,:,5,1,4,,Season 58803
14,1,VFL Bern,7,1,2,4,5,:,12,-7,5,4,1,1,2,3,:,4,-1,4,3,0,1,2,2,:,8,-6,1,,Season 58803
14,1,VFL Vienna,7,1,2,4,5,:,12,-7,5,3,1,1,1,4,:,4,0,4,4,0,1,3,1,:,8,-7,1,,Season 58803
16,0,VFL Athens,7,0,4,3,10,:,18,-8,4,3,0,2,1,6,:,7,-1,2,4,0,2,2,4,:,11,-7,2,,Season 58803
1,-1,VFL Berlin,8,6,2,0,24,:,7,17,20,4,4,0,0,16,:,4,12,12,4,2,2,0,8,:,3,5,8,,Season 58803
2,1,VFL Lisbon,8,6,0,2,16,:,9,7,18,4,4,0,0,9,:,1,8,12,4,2,0,2,7,:,8,-1,6,,Season 58803
3,-1,VFL Oslo,8,5,0,3,18,:,17,1,15,4,3,0,1,11,:,7,4,9,4,2,0,2,7,:,10,-3,6,,Season 58803
4,-1,VFL Paris,8,4,2,2,14,:,9,5,14,4,3,1,0,11,:,4,7,10,4,1,1,2,3,:,5,-2,4,,Season 58803
5,1,VFL Amsterdam,8,4,1,3,13,:,10,3,13,4,2,0,2,8,:,6,2,6,4,2,1,1,5,:,4,1,7,,Season 58803
6,1,VFL Madrid,8,4,1,3,19,:,17,2,13,4,3,1,0,12,:,5,7,10,4,1,0,3,7,:,12,-5,3,,Season 58803
7,-1,VFL Copenhagen,8,3,4,1,10,:,8,2,13,4,1,2,1,6,:,6,0,5,4,2,2,0,4,:,2,2,8,,Season 58803
8,1,VFL London,8,3,3,2,11,:,8,3,12,4,2,2,0,8,:,3,5,8,4,1,1,2,3,:,5,-2,4,,Season 58803
9,0,VFL Stockholm,8,3,1,4,11,:,13,-2,10,4,1,1,2,3,:,7,-4,4,4,2,0,2,8,:,6,2,6,,Season 58803
10,0,VFL Edinburgh,8,2,3,3,11,:,12,-1,9,4,2,1,1,5,:,4,1,7,4,0,2,2,6,:,8,-2,2,,Season 58803
11,-1,VFL Brussels,8,2,2,4,10,:,9,1,8,4,1,1,2,4,:,4,0,4,4,1,1,2,6,:,5,1,4,,Season 58803
12,1,VFL Ankara,8,2,2,4,6,:,14,-8,8,4,1,1,2,1,:,5,-4,4,4,1,1,2,5,:,9,-4,4,,Season 58803
13,1,VFL Rome,8,1,4,3,7,:,13,-6,7,4,1,2,1,5,:,5,0,5,4,0,2,2,2,:,8,-6,2,,Season 58803
14,0,VFL Vienna,8,1,3,4,7,:,14,-7,6,4,1,2,1,6,:,6,0,5,4,0,1,3,1,:,8,-7,1,,Season 58803
15,1,VFL Bern,8,1,2,5,6,:,14,-8,5,4,1,1,2,3,:,4,-1,4,4,0,1,3,3,:,10,-7,1,,Season 58803
16,0,VFL Athens,8,0,4,4,10,:,19,-9,4,4,0,2,2,6,:,8,-2,2,4,0,2,2,4,:,11,-7,2,,Season 58803
1,0,VFL Berlin,9,7,2,0,27,:,7,20,23,4,4,0,0,16,:,4,12,12,5,3,2,0,11,:,3,8,11,,Season 58803
2,0,VFL Lisbon,9,7,0,2,18,:,9,9,21,5,5,0,0,11,:,1,10,15,4,2,0,2,7,:,8,-1,6,,Season 58803
3,0,VFL Oslo,9,6,0,3,22,:,18,4,18,5,4,0,1,15,:,8,7,12,4,2,0,2,7,:,10,-3,6,,Season 58803
4,-1,VFL Copenhagen,9,4,4,1,13,:,8,5,16,5,2,2,1,9,:,6,3,8,4,2,2,0,4,:,2,2,8,,Season 58803
5,1,VFL Paris,9,4,2,3,14,:,10,4,14,4,3,1,0,11,:,4,7,10,5,1,1,3,3,:,6,-3,4,,Season 58803
6,1,VFL Amsterdam,9,4,2,3,14,:,11,3,14,5,2,1,2,9,:,7,2,7,4,2,1,1,5,:,4,1,7,,Season 58803
7,1,VFL Madrid,9,4,1,4,19,:,20,-1,13,5,3,1,1,12,:,8,4,10,4,1,0,3,7,:,12,-5,3,,Season 58803
8,0,VFL London,9,3,3,3,12,:,10,2,12,5,2,2,1,9,:,5,4,8,4,1,1,2,3,:,5,-2,4,,Season 58803
9,-1,VFL Edinburgh,9,3,3,3,12,:,12,0,12,5,3,1,1,6,:,4,2,10,4,0,2,2,6,:,8,-2,2,,Season 58803
10,1,VFL Stockholm,9,3,1,5,11,:,15,-4,10,4,1,1,2,3,:,7,-4,4,5,2,0,3,8,:,8,0,6,,Season 58803
11,0,VFL Brussels,9,2,2,5,10,:,12,-2,8,4,1,1,2,4,:,4,0,4,5,1,1,3,6,:,8,-2,4,,Season 58803
12,-1,VFL Rome,9,1,5,3,8,:,14,-6,8,4,1,2,1,5,:,5,0,5,5,0,3,2,3,:,9,-6,3,,Season 58803
13,1,VFL Ankara,9,2,2,5,7,:,18,-11,8,4,1,1,2,1,:,5,-4,4,5,1,1,3,6,:,13,-7,4,,Season 58803
14,0,VFL Vienna,9,1,4,4,8,:,15,-7,7,4,1,2,1,6,:,6,0,5,5,0,2,3,2,:,9,-7,2,,Season 58803
15,-1,VFL Athens,9,1,4,4,12,:,20,-8,7,4,0,2,2,6,:,8,-2,2,5,1,2,2,6,:,12,-6,5,,Season 58803
16,1,VFL Bern,9,1,3,5,7,:,15,-8,6,5,1,2,2,4,:,5,-1,5,4,0,1,3,3,:,10,-7,1,,Season 58803
1,0,VFL Berlin,10,8,2,0,28,:,7,21,26,5,5,0,0,17,:,4,13,15,5,3,2,0,11,:,3,8,11,,Season 58803
2,0,VFL Lisbon,10,7,1,2,19,:,10,9,22,5,5,0,0,11,:,1,10,15,5,2,1,2,8,:,9,-1,7,,Season 58803
3,0,VFL Oslo,10,7,0,3,24,:,18,6,21,5,4,0,1,15,:,8,7,12,5,3,0,2,9,:,10,-1,9,,Season 58803
4,-1,VFL Amsterdam,10,5,2,3,18,:,11,7,17,5,2,1,2,9,:,7,2,7,5,3,1,1,9,:,4,5,10,,Season 58803
5,1,VFL Copenhagen,10,4,5,1,14,:,9,5,17,5,2,2,1,9,:,6,3,8,5,2,3,0,5,:,3,2,9,,Season 58803
6,1,VFL Paris,10,4,3,3,15,:,11,4,15,5,3,2,0,12,:,5,7,11,5,1,1,3,3,:,6,-3,4,,Season 58803
7,0,VFL Madrid,10,4,2,4,21,:,22,-1,14,5,3,1,1,12,:,8,4,10,5,1,1,3,9,:,14,-5,4,,Season 58803
8,0,VFL London,10,3,4,3,13,:,11,2,13,5,2,2,1,9,:,5,4,8,5,1,2,2,4,:,6,-2,5,,Season 58803
9,0,VFL Edinburgh,10,3,3,4,12,:,13,-1,12,5,3,1,1,6,:,4,2,10,5,0,2,3,6,:,9,-3,2,,Season 58803
10,-1,VFL Rome,10,2,5,3,12,:,14,-2,11,5,2,2,1,9,:,5,4,8,5,0,3,2,3,:,9,-6,3,,Season 58803
11,1,VFL Stockholm,10,3,2,5,12,:,16,-4,11,5,1,2,2,4,:,8,-4,5,5,2,0,3,8,:,8,0,6,,Season 58803
12,1,VFL Brussels,10,2,3,5,11,:,13,-2,9,5,1,2,2,5,:,5,0,5,5,1,1,3,6,:,8,-2,4,,Season 58803
13,0,VFL Ankara,10,2,3,5,9,:,20,-11,9,5,1,2,2,3,:,7,-4,5,5,1,1,3,6,:,13,-7,4,,Season 58803
14,0,VFL Vienna,10,1,4,5,8,:,17,-9,7,5,1,2,2,6,:,8,-2,5,5,0,2,3,2,:,9,-7,2,,Season 58803
15,0,VFL Athens,10,1,4,5,12,:,24,-12,7,5,0,2,3,6,:,12,-6,2,5,1,2,2,6,:,12,-6,5,,Season 58803
16,0,VFL Bern,10,1,3,6,7,:,19,-12,6,5,1,2,2,4,:,5,-1,5,5,0,1,4,3,:,14,-11,1,,Season 58803
1,0,VFL Berlin,11,9,2,0,29,:,7,22,29,5,5,0,0,17,:,4,13,15,6,4,2,0,12,:,3,9,14,,Season 58803
2,0,VFL Lisbon,11,7,1,3,19,:,11,8,22,6,5,0,1,11,:,2,9,15,5,2,1,2,8,:,9,-1,7,,Season 58803
3,0,VFL Oslo,11,7,0,4,24,:,21,3,21,6,4,0,2,15,:,11,4,12,5,3,0,2,9,:,10,-1,9,,Season 58803
4,-1,VFL Copenhagen,11,5,5,1,16,:,10,6,20,6,3,2,1,11,:,7,4,11,5,2,3,0,5,:,3,2,9,,Season 58803
5,1,VFL Amsterdam,11,5,3,3,19,:,12,7,18,6,2,2,2,10,:,8,2,8,5,3,1,1,9,:,4,5,10,,Season 58803
6,-1,VFL London,11,4,4,3,16,:,11,5,16,6,3,2,1,12,:,5,7,11,5,1,2,2,4,:,6,-2,5,,Season 58803
7,1,VFL Paris,11,4,3,4,16,:,13,3,15,5,3,2,0,12,:,5,7,11,6,1,1,4,4,:,8,-4,4,,Season 58803
8,-1,VFL Edinburgh,11,4,3,4,14,:,14,0,15,6,4,1,1,8,:,5,3,13,5,0,2,3,6,:,9,-3,2,,Season 58803
9,-1,VFL Rome,11,3,5,3,15,:,14,1,14,5,2,2,1,9,:,5,4,8,6,1,3,2,6,:,9,-3,6,,Season 58803
10,1,VFL Madrid,11,4,2,5,22,:,24,-2,14,5,3,1,1,12,:,8,4,10,6,1,1,4,10,:,16,-6,4,,Season 58803
11,0,VFL Stockholm,11,3,2,6,12,:,19,-7,11,5,1,2,2,4,:,8,-4,5,6,2,0,4,8,:,11,-3,6,,Season 58803
12,0,VFL Brussels,11,2,4,5,12,:,14,-2,10,5,1,2,2,5,:,5,0,5,6,1,2,3,7,:,9,-2,5,,Season 58803
13,-1,VFL Vienna,11,2,4,5,11,:,18,-7,10,6,2,2,2,9,:,9,0,8,5,0,2,3,2,:,9,-7,2,,Season 58803
14,-1,VFL Bern,11,2,3,6,9,:,20,-11,9,6,2,2,2,6,:,6,0,8,5,0,1,4,3,:,14,-11,1,,Season 58803
15,1,VFL Ankara,11,2,3,6,10,:,23,-13,9,5,1,2,2,3,:,7,-4,5,6,1,1,4,7,:,16,-9,4,,Season 58803
16,1,VFL Athens,11,1,4,6,13,:,26,-13,7,5,0,2,3,6,:,12,-6,2,6,1,2,3,7,:,14,-7,5,,Season 58803
1,0,VFL Berlin,12,10,2,0,31,:,7,24,32,6,6,0,0,19,:,4,15,18,6,4,2,0,12,:,3,9,14,,Season 58803
2,0,VFL Lisbon,12,7,1,4,19,:,13,6,22,6,5,0,1,11,:,2,9,15,6,2,1,3,8,:,11,-3,7,,Season 58803
3,0,VFL Oslo,12,7,1,4,25,:,22,3,22,6,4,0,2,15,:,11,4,12,6,3,1,2,10,:,11,-1,10,,Season 58803
4,-1,VFL Amsterdam,12,6,3,3,22,:,13,9,21,6,2,2,2,10,:,8,2,8,6,4,1,1,12,:,5,7,13,,Season 58803
5,1,VFL Copenhagen,12,5,5,2,16,:,12,4,20,6,3,2,1,11,:,7,4,11,6,2,3,1,5,:,5,0,9,,Season 58803
6,0,VFL London,12,5,4,3,21,:,12,9,19,6,3,2,1,12,:,5,7,11,6,2,2,2,9,:,7,2,8,,Season 58803
7,-1,VFL Rome,12,4,5,3,18,:,15,3,17,6,3,2,1,12,:,6,6,11,6,1,3,2,6,:,9,-3,6,,Season 58803
8,-1,VFL Madrid,12,5,2,5,24,:,24,0,17,6,4,1,1,14,:,8,6,13,6,1,1,4,10,:,16,-6,4,,Season 58803
9,1,VFL Edinburgh,12,4,4,4,14,:,14,0,16,6,4,1,1,8,:,5,3,13,6,0,3,3,6,:,9,-3,3,,Season 58803
